date,value,generation,difference,day_ahead_demand_forecast
2018-04-23 07:00,25521,17220,8301,25521
2018-04-23 06:00,28564,18813,9751,27881
2018-04-23 05:00,30861,20107,10754,30279
2018-04-23 04:00,32210,20643,11567,31622
2018-04-23 03:00,31632,20219,11413,30894
2018-04-23 02:00,30835,19705,11130,30211
2018-04-23 01:00,29617,20961,8656,29293
2018-04-23 00:00,28174,21636,6538,27905
2018-04-22 23:00,26746,21003,5743,26539
2018-04-22 22:00,25624,21180,4444,25338
2018-04-22 21:00,24963,21174,3789,24675
2018-04-22 20:00,24337,21036,3301,24028
2018-04-22 19:00,23862,20839,3023,23566
2018-04-22 18:00,23549,20298,3251,23079
2018-04-22 17:00,23349,20022,3327,22808
2018-04-22 16:00,23229,19368,3861,22624
2018-04-22 15:00,23000,17216,5784,22254
2018-04-22 14:00,22908,15029,7879,22155
2018-04-22 13:00,22888,14041,8847,22149
2018-04-22 12:00,22668,13440,9228,21939
2018-04-22 11:00,22812,13941,8871,22057
2018-04-22 10:00,23220,14825,8395,22504
2018-04-22 09:00,23925,15769,8156,23388
2018-04-22 08:00,24964,16622,8342,24543
2018-04-22 07:00,26299,18063,8236,25938
2018-04-22 06:00,28042,19075,8967,28105
2018-04-22 05:00,29780,21049,8731,29963
2018-04-22 04:00,30830,22314,8516,31172
2018-04-22 03:00,30315,22024,8291,30634
2018-04-22 02:00,29292,22251,7041,29815
2018-04-22 01:00,28322,23729,4593,28935
2018-04-22 00:00,27269,24188,3081,27867
2018-04-21 23:00,26465,23704,2761,26710
2018-04-21 22:00,25614,23306,2308,25684
2018-04-21 21:00,25023,23328,1695,24995
2018-04-21 20:00,24727,23197,1530,24581
2018-04-21 19:00,24649,23359,1290,24414
2018-04-21 18:00,24632,23877,755,24361
2018-04-21 17:00,24663,23758,905,24267
2018-04-21 16:00,24855,23682,1173,24196
2018-04-21 15:00,24676,21630,3046,23869
2018-04-21 14:00,24290,19123,5167,23655
2018-04-21 13:00,23805,17798,6007,23264
2018-04-21 12:00,23368,16514,6854,22724
2018-04-21 11:00,23355,16191,7164,22566
2018-04-21 10:00,23691,16389,7302,23017
2018-04-21 09:00,24374,16799,7575,23742
2018-04-21 08:00,25304,17217,8087,24827
2018-04-21 07:00,26774,18911,7863,26785
2018-04-21 06:00,28615,19818,8797,28794
2018-04-21 05:00,30390,21090,9300,30895
2018-04-21 04:00,31345,22610,8735,32090
2018-04-21 03:00,30592,22208,8384,31537
2018-04-21 02:00,29451,21330,8121,30544
2018-04-21 01:00,28615,22308,6307,30043
2018-04-21 00:00,27688,23707,3981,29416
2018-04-20 23:00,27079,24322,2757,28630
2018-04-20 22:00,26698,23960,2738,28252
2018-04-20 21:00,26716,23501,3215,27907
2018-04-20 20:00,26567,23776,2791,27588
2018-04-20 19:00,26839,24492,2347,27527
2018-04-20 18:00,27109,24437,2672,27528
2018-04-20 17:00,27526,24767,2759,27962
2018-04-20 16:00,28299,24075,4224,28430
2018-04-20 15:00,28834,21961,6873,28801
2018-04-20 14:00,27998,20236,7762,27912
2018-04-20 13:00,25884,18367,7517,25715
2018-04-20 12:00,24464,17229,7235,24046
2018-04-20 11:00,23918,16790,7128,23444
2018-04-20 10:00,24160,16683,7477,23533
2018-04-20 09:00,24691,17145,7546,24090
2018-04-20 08:00,25521,17178,8343,25095
2018-04-20 07:00,27284,17777,9507,26738
2018-04-20 06:00,29275,19442,9833,28845
2018-04-20 05:00,31257,21478,9779,31140
2018-04-20 04:00,32439,22522,9917,32349
2018-04-20 03:00,31355,22196,9159,31484
2018-04-20 02:00,29761,22330,7431,29743
2018-04-20 01:00,28707,24156,4551,28616
2018-04-20 00:00,28032,25399,2633,27774
2018-04-19 23:00,27462,25144,2318,27149
2018-04-19 22:00,27341,24430,2911,26922
2018-04-19 21:00,27590,24202,3388,26904
2018-04-19 20:00,27774,24349,3425,27015
2018-04-19 19:00,28178,24159,4019,27731
2018-04-19 18:00,28704,24276,4428,28017
2018-04-19 17:00,29455,24850,4605,28600
2018-04-19 16:00,30052,23984,6068,29221
2018-04-19 15:00,30170,22269,7901,29751
2018-04-19 14:00,29102,19375,9727,28247
2018-04-19 13:00,26724,17045,9679,25743
2018-04-19 12:00,25204,15728,9476,24080
2018-04-19 11:00,24700,14932,9768,23412
2018-04-19 10:00,24844,14787,10057,23538
2018-04-19 09:00,25355,15234,10121,24118
2018-04-19 08:00,26294,15831,10463,25123
2018-04-19 07:00,27611,16508,11103,26620
2018-04-19 06:00,29507,18512,10995,28862
2018-04-19 05:00,31722,20699,11023,31105
2018-04-19 04:00,32888,22612,10276,32498
2018-04-19 03:00,32061,22066,9995,31740
2018-04-19 02:00,30449,21798,8651,30257
2018-04-19 01:00,29594,22501,7093,29462
2018-04-19 00:00,28910,22234,6676,28696
2018-04-18 23:00,28478,22787,5691,28282
2018-04-18 22:00,28495,22735,5760,28025
2018-04-18 21:00,28346,22341,6005,27784
2018-04-18 20:00,28443,22042,6401,27678
2018-04-18 19:00,28838,22521,6317,28022
2018-04-18 18:00,29246,22852,6394,28367
2018-04-18 17:00,29634,22742,6892,28934
2018-04-18 16:00,29918,22765,7153,29483
2018-04-18 15:00,29975,21715,8260,29712
2018-04-18 14:00,28660,19483,9177,28488
2018-04-18 13:00,26388,17823,8565,26058
2018-04-18 12:00,24606,16469,8137,24203
2018-04-18 11:00,24047,15287,8760,23496
2018-04-18 10:00,24209,15175,9034,23590
2018-04-18 09:00,24776,15402,9374,24055
2018-04-18 08:00,25727,15906,9821,25066
2018-04-18 07:00,27204,17497,9707,26636
2018-04-18 06:00,29315,19567,9748,28908
2018-04-18 05:00,31755,21559,10196,31251
2018-04-18 04:00,33086,23390,9696,32568
2018-04-18 03:00,32057,23351,8706,31657
2018-04-18 02:00,30127,22748,7379,30214
2018-04-18 01:00,28868,23429,5439,29391
2018-04-18 00:00,27950,23322,4628,28541
2018-04-17 23:00,27250,23004,4246,27754
2018-04-17 22:00,26948,23451,3497,27275
2018-04-17 21:00,26876,24232,2644,27010
2018-04-17 20:00,26878,24070,2808,26872
2018-04-17 19:00,27337,23909,3428,27418
2018-04-17 18:00,27951,23937,4014,28029
2018-04-17 17:00,28593,23699,4894,28714
2018-04-17 16:00,29292,22933,6359,29367
2018-04-17 15:00,30155,21025,9130,29807
2018-04-17 14:00,29230,18483,10747,28738
2018-04-17 13:00,26617,16949,9668,26220
2018-04-17 12:00,24822,15832,8990,24272
